participant,condition,gender,age,region,distanceLondon,stimulus,response,reactionTime
f1,maleFace,female,20,northern,189.4,1,bee,2.991709904
f1,maleFace,female,20,northern,189.4,1,bee,2.343224347
f1,maleFace,female,20,northern,189.4,1,bee,2.288629699
f1,maleFace,female,20,northern,189.4,2,bee,2.728816949
f1,maleFace,female,20,northern,189.4,2,bee,2.321841402
f1,maleFace,female,20,northern,189.4,2,bee,2.099053388
f1,maleFace,female,20,northern,189.4,3,bee,2.380829248
f1,maleFace,female,20,northern,189.4,3,boo,2.750443574
f1,maleFace,female,20,northern,189.4,3,boo,3.311799854
f1,maleFace,female,20,northern,189.4,4,bee,2.497552437
f1,maleFace,female,20,northern,189.4,4,boo,2.579924982
f1,maleFace,female,20,northern,189.4,4,boo,2.355354725
f1,maleFace,female,20,northern,189.4,5,boo,2.973974548
f1,maleFace,female,20,northern,189.4,5,boo,2.483774568
f1,maleFace,female,20,northern,189.4,5,boo,2.249314732
f1,maleFace,female,20,northern,189.4,6,boo,2.368677018
f1,maleFace,female,20,northern,189.4,6,boo,2.45295464
f1,maleFace,female,20,northern,189.4,6,boo,2.566664272
f1,maleFace,female,20,northern,189.4,7,boo,2.449394127
f1,maleFace,female,20,northern,189.4,7,boo,2.251424089
f1,maleFace,female,20,northern,189.4,7,boo,2.78342484
f1,maleFace,female,20,northern,189.4,8,boo,2.44844821
f1,maleFace,female,20,northern,189.4,8,boo,2.517108773
f1,maleFace,female,20,northern,189.4,8,boo,2.394230671
f1,maleFace,female,20,northern,189.4,9,boo,2.618273505
f1,maleFace,female,20,northern,189.4,9,boo,2.36070609
f1,maleFace,female,20,northern,189.4,9,boo,2.281199437
f1,maleFace,female,20,northern,189.4,10,boo,2.460012429
f1,maleFace,female,20,northern,189.4,10,boo,2.530210893
f1,maleFace,female,20,northern,189.4,10,boo,2.416303602
f1,maleFace,female,20,northern,189.4,11,boo,2.546083882
f1,maleFace,female,20,northern,189.4,11,boo,2.419355234
f1,maleFace,female,20,northern,189.4,11,boo,2.413960497
f2,maleFace,female,22,midlands,80.889,1,bee,2.379599384
f2,maleFace,female,22,midlands,80.889,1,bee,2.345955601
f2,maleFace,female,22,midlands,80.889,1,bee,2.450583211
f2,maleFace,female,22,midlands,80.889,2,boo,2.601183307
f2,maleFace,female,22,midlands,80.889,2,boo,2.833351102
f2,maleFace,female,22,midlands,80.889,2,boo,2.630725247
f2,maleFace,female,22,midlands,80.889,3,boo,2.331735064
f2,maleFace,female,22,midlands,80.889,3,boo,2.566053272
f2,maleFace,female,22,midlands,80.889,3,boo,2.481624977
f2,maleFace,female,22,midlands,80.889,4,boo,2.546606519
f2,maleFace,female,22,midlands,80.889,4,boo,2.433163375
f2,maleFace,female,22,midlands,80.889,4,boo,2.510329267
f2,maleFace,female,22,midlands,80.889,5,boo,2.412551194
f2,maleFace,female,22,midlands,80.889,5,boo,2.385286142
f2,maleFace,female,22,midlands,80.889,5,boo,2.279977486
f2,maleFace,female,22,midlands,80.889,6,boo,2.318903107
f2,maleFace,female,22,midlands,80.889,6,boo,2.381281971
f2,maleFace,female,22,midlands,80.889,6,boo,2.261093582
f2,maleFace,female,22,midlands,80.889,7,boo,2.416905988
f2,maleFace,female,22,midlands,80.889,7,boo,2.310393166
f2,maleFace,female,22,midlands,80.889,7,boo,2.326269141
f2,maleFace,female,22,midlands,80.889,8,boo,2.399595411
f2,maleFace,female,22,midlands,80.889,8,boo,2.348229179
f2,maleFace,female,22,midlands,80.889,8,boo,2.278673333
f2,maleFace,female,22,midlands,80.889,9,boo,2.665009684
f2,maleFace,female,22,midlands,80.889,9,boo,2.362232523
f2,maleFace,female,22,midlands,80.889,9,boo,2.287170361
f2,maleFace,female,22,midlands,80.889,10,boo,2.466458854
f2,maleFace,female,22,midlands,80.889,10,boo,2.647595146
f2,maleFace,female,22,midlands,80.889,10,boo,2.206593938
f2,maleFace,female,22,midlands,80.889,11,boo,2.756704687
f2,maleFace,female,22,midlands,80.889,11,boo,2.700197328
f2,maleFace,female,22,midlands,80.889,11,boo,2.384601453
f3,maleFace,female,23,southern,68.847,1,bee,2.062884103
f3,maleFace,female,23,southern,68.847,1,bee,2.21751552
f3,maleFace,female,23,southern,68.847,1,bee,2.254116576
f3,maleFace,female,23,southern,68.847,2,bee,2.479935438
f3,maleFace,female,23,southern,68.847,2,bee,2.203614813
f3,maleFace,female,23,southern,68.847,2,bee,2.31892231
f3,maleFace,female,23,southern,68.847,3,bee,2.466864767
f3,maleFace,female,23,southern,68.847,3,bee,2.777059943
f3,maleFace,female,23,southern,68.847,3,bee,2.590880858
f3,maleFace,female,23,southern,68.847,4,bee,4.860212558
f3,maleFace,female,23,southern,68.847,4,boo,3.106126111
f3,maleFace,female,23,southern,68.847,4,boo,2.780034764
f3,maleFace,female,23,southern,68.847,5,boo,2.315147582
f3,maleFace,female,23,southern,68.847,5,boo,2.233765292
f3,maleFace,female,23,southern,68.847,5,boo,4.205098416
f3,maleFace,female,23,southern,68.847,6,boo,2.161734567
f3,maleFace,female,23,southern,68.847,6,boo,2.366558843
f3,maleFace,female,23,southern,68.847,6,boo,2.029635969
f3,maleFace,female,23,southern,68.847,7,boo,2.174832387
f3,maleFace,female,23,southern,68.847,7,boo,2.302214313
f3,maleFace,female,23,southern,68.847,7,boo,2.252253547
f3,maleFace,female,23,southern,68.847,8,boo,2.080046021
f3,maleFace,female,23,southern,68.847,8,boo,2.232047941
f3,maleFace,female,23,southern,68.847,8,boo,2.140181767
f3,maleFace,female,23,southern,68.847,9,boo,2.246070157
f3,maleFace,female,23,southern,68.847,9,boo,2.232187991
f3,maleFace,female,23,southern,68.847,9,boo,2.202729154
f3,maleFace,female,23,southern,68.847,10,boo,2.205567236
f3,maleFace,female,23,southern,68.847,10,boo,2.156509014
f3,maleFace,female,23,southern,68.847,10,boo,2.220400285
f3,maleFace,female,23,southern,68.847,11,boo,2.547817968
f3,maleFace,female,23,southern,68.847,11,boo,2.205405665
f3,maleFace,female,23,southern,68.847,11,boo,2.065966858
f4,maleFace,female,22,northern,182.227,1,bee,2.23505999
f4,maleFace,female,22,northern,182.227,1,bee,2.20252675
f4,maleFace,female,22,northern,182.227,1,bee,2.07165719
f4,maleFace,female,22,northern,182.227,2,bee,1.954543779
f4,maleFace,female,22,northern,182.227,2,bee,2.275975766
f4,maleFace,female,22,northern,182.227,2,bee,2.347865273
f4,maleFace,female,22,northern,182.227,3,bee,2.559011543
f4,maleFace,female,22,northern,182.227,3,boo,2.574286617
f4,maleFace,female,22,northern,182.227,3,boo,2.366050374
f4,maleFace,female,22,northern,182.227,4,boo,2.210012208
f4,maleFace,female,22,northern,182.227,4,boo,2.457529146
f4,maleFace,female,22,northern,182.227,4,boo,2.348721767
f4,maleFace,female,22,northern,182.227,5,bee,2.635548322
f4,maleFace,female,22,northern,182.227,5,boo,2.332725484
f4,maleFace,female,22,northern,182.227,5,boo,2.631962803
f4,maleFace,female,22,northern,182.227,6,boo,2.283045573
f4,maleFace,female,22,northern,182.227,6,boo,2.362456458
f4,maleFace,female,22,northern,182.227,6,boo,2.178615829
f4,maleFace,female,22,northern,182.227,7,boo,2.150572186
f4,maleFace,female,22,northern,182.227,7,boo,2.289999687
f4,maleFace,female,22,northern,182.227,7,boo,2.145818085
f4,maleFace,female,22,northern,182.227,8,boo,2.634898487
f4,maleFace,female,22,northern,182.227,8,boo,2.130515021
f4,maleFace,female,22,northern,182.227,8,boo,2.124436526
f4,maleFace,female,22,northern,182.227,9,boo,1.88881767
f4,maleFace,female,22,northern,182.227,9,boo,2.289834546
f4,maleFace,female,22,northern,182.227,9,boo,2.186544929
f4,maleFace,female,22,northern,182.227,10,boo,1.976341922
f4,maleFace,female,22,northern,182.227,10,boo,2.277684556
f4,maleFace,female,22,northern,182.227,10,boo,2.041995724
f4,maleFace,female,22,northern,182.227,11,boo,1.98080586
f4,maleFace,female,22,northern,182.227,11,boo,2.227254046
f4,maleFace,female,22,northern,182.227,11,boo,2.421327817
f5,femaleFace,female,21,other,76.867,1,bee,2.636183314
f5,femaleFace,female,21,other,76.867,1,bee,2.408186739
f5,femaleFace,female,21,other,76.867,1,bee,2.389353478
f5,femaleFace,female,21,other,76.867,2,bee,2.480938289
f5,femaleFace,female,21,other,76.867,2,bee,2.410637781
f5,femaleFace,female,21,other,76.867,2,bee,2.47304549
f5,femaleFace,female,21,other,76.867,3,bee,2.581083372
f5,femaleFace,female,21,other,76.867,3,bee,2.446383331
f5,femaleFace,female,21,other,76.867,3,boo,2.450180906
f5,femaleFace,female,21,other,76.867,4,bee,3.098785968
f5,femaleFace,female,21,other,76.867,4,boo,2.559122988
f5,femaleFace,female,21,other,76.867,4,boo,2.65599229
f5,femaleFace,female,21,other,76.867,5,boo,2.493400098
f5,femaleFace,female,21,other,76.867,5,boo,2.65205334
f5,femaleFace,female,21,other,76.867,5,boo,2.55760462
f5,femaleFace,female,21,other,76.867,6,boo,2.476518931
f5,femaleFace,female,21,other,76.867,6,boo,2.351485988
f5,femaleFace,female,21,other,76.867,6,boo,2.298573542
f5,femaleFace,female,21,other,76.867,7,boo,2.506687971
f5,femaleFace,female,21,other,76.867,7,boo,2.421868937
f5,femaleFace,female,21,other,76.867,7,boo,2.450756006
f5,femaleFace,female,21,other,76.867,8,boo,2.397409835
f5,femaleFace,female,21,other,76.867,8,boo,2.436708618
f5,femaleFace,female,21,other,76.867,8,boo,2.252604336
f5,femaleFace,female,21,other,76.867,9,boo,2.701494662
f5,femaleFace,female,21,other,76.867,9,boo,2.316301631
f5,femaleFace,female,21,other,76.867,9,boo,2.236278071
f5,femaleFace,female,21,other,76.867,10,boo,2.620868522
f5,femaleFace,female,21,other,76.867,10,boo,2.307154672
f5,femaleFace,female,21,other,76.867,10,boo,2.383764387
f5,femaleFace,female,21,other,76.867,11,boo,2.443969039
f5,femaleFace,female,21,other,76.867,11,boo,2.334750499
f5,femaleFace,female,21,other,76.867,11,boo,2.385767799
f6,maleFace,female,19,other,344.732,1,bee,3.78021528
f6,maleFace,female,19,other,344.732,1,bee,2.591497478
f6,maleFace,female,19,other,344.732,1,bee,2.990226301
f6,maleFace,female,19,other,344.732,2,bee,2.766893649
f6,maleFace,female,19,other,344.732,2,bee,2.723943343
f6,maleFace,female,19,other,344.732,2,bee,2.662015772
f6,maleFace,female,19,other,344.732,3,bee,3.597565647
f6,maleFace,female,19,other,344.732,3,bee,3.446875545
f6,maleFace,female,19,other,344.732,3,boo,3.921039972
f6,maleFace,female,19,other,344.732,4,bee,3.631650096
f6,maleFace,female,19,other,344.732,4,boo,2.733214451
f6,maleFace,female,19,other,344.732,4,boo,2.741854837
f6,maleFace,female,19,other,344.732,5,boo,2.673532646
f6,maleFace,female,19,other,344.732,5,boo,2.86224217
f6,maleFace,female,19,other,344.732,5,boo,2.531671319
f6,maleFace,female,19,other,344.732,6,boo,2.595504628
f6,maleFace,female,19,other,344.732,6,boo,2.55094292
f6,maleFace,female,19,other,344.732,6,boo,2.31987673
f6,maleFace,female,19,other,344.732,7,boo,2.843506268
f6,maleFace,female,19,other,344.732,7,boo,2.546069314
f6,maleFace,female,19,other,344.732,7,boo,2.551527289
f6,maleFace,female,19,other,344.732,8,boo,2.721469127
f6,maleFace,female,19,other,344.732,8,boo,2.566591433
f6,maleFace,female,19,other,344.732,8,boo,2.4583166
f6,maleFace,female,19,other,344.732,9,boo,2.580911291
f6,maleFace,female,19,other,344.732,9,boo,2.631130951
f6,maleFace,female,19,other,344.732,9,boo,2.683531152
f6,maleFace,female,19,other,344.732,10,boo,2.670687943
f6,maleFace,female,19,other,344.732,10,boo,2.63797254
f6,maleFace,female,19,other,344.732,10,boo,2.569292112
f6,maleFace,female,19,other,344.732,11,boo,2.629530144
f6,maleFace,female,19,other,344.732,11,boo,2.605899778
f6,maleFace,female,19,other,344.732,11,boo,2.461098396
f7,femaleFace,female,26,midlands,112.967,1,bee,2.079187233
f7,femaleFace,female,26,midlands,112.967,1,bee,2.062791109
f7,femaleFace,female,26,midlands,112.967,1,bee,2.415818972
f7,femaleFace,female,26,midlands,112.967,2,bee,2.553284257
f7,femaleFace,female,26,midlands,112.967,2,bee,2.098037047
f7,femaleFace,female,26,midlands,112.967,2,bee,2.251014453
f7,femaleFace,female,26,midlands,112.967,3,bee,3.169463916
f7,femaleFace,female,26,midlands,112.967,3,bee,2.133232992
f7,femaleFace,female,26,midlands,112.967,3,bee,2.381255736
f7,femaleFace,female,26,midlands,112.967,4,boo,2.420821707
